City,Latitude (decimal degrees),Longitude (decimal degrees),Latitude (degree),Latitude (minutes),Longitude (degree),Longitude (minutes)
Vincennes,38.68333333,-87.53333333,38,41,-87,32
Ames (S),42.03333333,-93.8,42,2,-93,48
Burlington AP,40.78333333,-91.11666667,40,47,-91,7
Cedar Rapids AP,41.88333333,-91.7,41,53,-91,42
Clinton,41.83333333,-90.21666667,41,50,-90,13
Council Bluffs,41.33333333,-95.81666667,41,20,-95,49
Des Moines AP,41.53333333,-93.65,41,32,-93,39
Dubuque,42.4,-90.7,42,24,-90,42
Fort Dodge,42.55,-94.18333333,42,33,-94,11
Iowa City,41.63333333,-91.55,41,38,-91,33
Keokuk,40.4,-91.4,40,24,-91,24
Marshalltown,42.06666667,-92.93333333,42,4,-92,56
Mason City AP,43.15,-93.33333333,43,9,-93,20
Newton,41.68333333,-93.03333333,41,41,-93,2
Ottumwa AP,41.1,-92.45,41,6,-92,27
Sioux City AP,42.4,-96.38333333,42,24,-96,23
Waterloo,42.55,-92.4,42,33,-92,24
Atchison,39.56666667,-95.11666667,39,34,-95,7
Chanute AP,37.66666667,-95.48333333,37,40,-95,29
Dodge City AP (S),37.76666667,-99.96666667,37,46,-99,58
El Dorado,37.81666667,-96.83333333,37,49,-96,50
Emporia,38.33333333,-96.2,38,20,-96,12
Garden City AP,37.93333333,-100.7333333,37,56,-100,44
Goodland AP,39.36666667,-101.7,39,22,-101,42
Great Bend,38.35,-98.86666667,38,21,-98,52
Hutchinson AP,38.06666667,-97.86666667,38,4,-97,52
Liberal,37.05,-100.9666667,37,3,-100,58
"Manhattan, Ft Riley (S)",39.05,-96.76666667,39,3,-96,46
Parsons,37.33333333,-95.51666667,37,20,-95,31
Russell AP,38.86666667,-98.81666667,38,52,-98,49
Salina,38.8,-97.65,38,48,-97,39
Topeka AP,39.06666667,-95.63333333,39,4,-95,38
Wichita AP,37.65,-97.41666667,37,39,-97,25
Ashland,38.55,-82.73333333,38,33,-82,44
Bowling Green AP,35.96666667,-86.46666667,35,58,-86,28
Corbin AP,36.95,-84.1,36,57,-84,6
Covington AP,39.05,-84.66666667,39,3,-84,40
"Hopkinsville, Ft Campbell",36.66666667,-87.48333333,36,40,-87,29
Lexington AP (S),38.03333333,-84.6,38,2,-84,36
Louisville AP,38.18333333,-85.73333333,38,11,-85,44
Madisonville,37.31666667,-87.48333333,37,19,-87,29
Owensboro,37.75,-87.16666667,37,45,-87,10
Paducah AP,37.06666667,-88.76666667,37,4,-88,46
Alexandria AP,31.4,-92.3,31,24,-92,18
Baton Rouge AP,30.53333333,-91.15,30,32,-91,9
Bogalusa,30.78333333,-89.86666667,30,47,-89,52
Houma,29.51666667,-90.66666667,29,31,-90,40
Lafayette AP,30.2,-92,30,12,-92,0
Lake Charles AP (S),30.11666667,-93.21666667,30,7,-93,13
Minden,32.6,-93.3,32,36,-93,18
Monroe AP,32.51666667,-92.03333333,32,31,-92,2
Natchitoches,31.76666667,-93.08333333,31,46,-93,5
New Orleans AP,29.98333333,-90.25,29,59,-90,15
Shreveport AP (S),32.46666667,-93.81666667,32,28,-93,49
Augusta AP,44.31666667,-69.8,44,19,-69,48
"Bangor, Dow AFB",44.8,-68.83333333,44,48,-68,50
Caribou AP (S),46.86666667,-68.01666667,46,52,-68,1
Lewiston,44.03333333,-70.25,44,2,-70,15
